# www.neaspec.com
# Scan:	 	3D (PsHet)
# Project:	 	Test
# Description:	 	single_wg_20mu_3d
# Date:	 	05/08/2024 14:41:00
# Scanner Center Position (X, Y):	[µm]	70.08	48.92	 
# Rotation:	[°]	+88	 	 
# Scan Area (X, Y, Z):	[µm]	4.000	0.000	0.500
# Pixel Area (X, Y, Z):	[px]	40	1	250
# Averaging:	 	1	 	 
# Integration time:	[ms]	49	 	 
# Laser Source:	 	Tunable VIS
# Detector:	 	NIR
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	263,187.244	 	 
# Tip Amplitude:	[mV]	12.100	 	 
# Tapping Amplitude:	[nm]	76.231	 	 
# Modulation Frequency:	[Hz]	304.390	 	 
# Modulation Amplitude:	[mV]	10,000.000	 	 
# Modulation Offset:	[mV]	-4,526.203	 	 
# Setpoint:	[%]	79.53	 	 
# Regulator (P, I, D):	 	2.054942	2.808500	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	14.000	 	 
# Q-Factor:	 	457.3	 	 
# Version:	 	1.10.9592.0
Row	Column	Run	Depth	Z	M	EA	EP	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	3.876633E-07	NaN	NaN	NaN	182.8464	0	77.15562	0.988179	0.003584743	1.886333	5.123084E-05	2.359576	0.000493013	2.375342	0	0	443.2466	0	0.05384717	2.755991	0.01529062	1.734437	0.01257844	0.518444	0.004271811	-2.931236	0	0	
0	0	0	1	3.896546E-07	NaN	NaN	NaN	182.8303	0	79.68606	1.019574	0.0005917909	0.243975	0.0004307814	2.298351	0.0006053292	1.849517	0	0	443.2499	0	0.05666387	2.692508	0.008068377	2.118616	0.005781312	2.258001	0.006279342	3.0399	0	0	
0	0	0	2	3.916626E-07	NaN	NaN	NaN	182.8379	0	81.15122	1.031185	0.004208604	0.9525623	0.0007841291	-1.625499	0.0004216339	2.571554	0	0	443.2467	0	0.06035608	2.68912	0.002824423	0.9145021	0.01701794	-0.4503554	0.01046579	-0.6708037	0	0	
0	0	0	3	3.936706E-07	NaN	NaN	NaN	182.8473	0	82.00713	1.030048	0.004654074	1.086249	0.0005270233	1.809779	0.0004160996	2.770467	0	0	443.2326	0	0.06038285	2.718862	0.01003925	1.645229	0.006637769	-1.298349	0.01544146	-2.99892	0	0	
0	0	0	4	3.956619E-07	NaN	NaN	NaN	182.8377	0	82.61658	1.032628	0.003319305	1.213409	0.0008562694	-1.239493	0.0003672582	-2.383925	0	0	443.2053	0	0.05574737	2.719234	0.009380514	1.980944	0.01006151	0.3685541	0.004023986	-0.09555178	0	0	
0	0	0	5	3.976867E-07	NaN	NaN	NaN	182.8271	0	83.50026	1.047592	0.002912699	2.064461	0.00054841	1.78179	0.0006573164	-1.2605	0	0	443.1964	0	0.06003433	2.759841	0.001695554	2.406722	0.006232115	-2.476869	0.007586234	0.0108409	0	0	
0	0	0	6	3.996947E-07	NaN	NaN	NaN	182.866	0	83.96377	1.058032	0.001853257	2.398259	0.00113611	-2.524621	0.0005787879	1.437859	0	0	443.1983	0	0.06153094	2.745365	0.008923745	2.644152	0.009393106	-1.876006	0.01225873	-1.271777	0	0	
0	0	0	7	4.017027E-07	NaN	NaN	NaN	182.8563	0	83.99748	1.058394	0.00396958	1.284049	0.0009841762	-2.126838	0.001321664	2.260433	0	0	443.2399	0	0.06046891	2.692949	0.006768786	1.875757	0.004204046	-1.164223	0.007476006	-0.9080977	0	0	
0	0	0	8	4.036941E-07	NaN	NaN	NaN	182.842	0	84.06309	1.058213	0.003110897	1.491057	0.0003383726	-1.618917	0.001085276	-0.4094431	0	0	443.2462	0	0.0609199	2.786927	0.01110343	1.684212	0.01006083	-2.692713	0.0009877328	0.7227481	0	0	
0	0	0	9	4.057188E-07	NaN	NaN	NaN	182.8281	0	84.03345	1.058891	0.003606275	1.419115	0.000747133	-2.327653	0.0008480265	-0.5147693	0	0	443.2755	0	0.06334099	2.773153	0.008463281	1.618389	0.007242562	-2.293474	0.005065112	-0.04805138	0	0	
